owner_id,owner_name,region,share_type,tenure_years,days_until_renewal,utilization_rate_12m,complaints_12m,days_since_last_flight,avg_satisfaction_score,churn_prob,risk_band,churned_within_12m
PL-0208,John Clark,Midwest,1/16,2.5,169,0.914,1,12,3.39,0.001,LOW,0
PL-0075,Barbara Johnson,Southeast,1/8,2.7,103,0.473,0,7,3.65,0.0009,LOW,0
PL-0154,Scott Jackson,Mid-Atlantic,1/16,1.4,581,0.626,1,7,3.67,0.0009,LOW,0
PL-0111,James Perez,Northeast,1/32,1.5,542,0.817,0,41,3.8,0.0009,LOW,0
PL-0224,Robert Martin,West_Coast,1/4,0.6,858,0.343,0,5,3.4,0.0009,LOW,0
PL-0148,Anthony Young,West_Coast,1/4,1.2,646,0.988,0,4,3.25,0.0009,LOW,0
PL-0178,Patricia Walker,Mid-Atlantic,1/8,1.4,591,0.754,2,11,3.04,0.0009,LOW,0
PL-0179,Nancy Martin,Mid-Atlantic,1/16,0.8,795,0.538,0,13,3.6,0.0009,LOW,0
PL-0093,Edward Jones,Mid-Atlantic,1/8,0.6,891,0.376,0,4,3.65,0.0009,LOW,0
PL-0196,George King,West_Coast,1/16,1.6,497,0.896,2,4,4.05,0.0009,LOW,0
PL-0152,James Walker,Mid-Atlantic,1/16,1.7,469,0.876,2,4,3.7,0.0009,LOW,0
PL-0106,George Martinez,Southeast,1/8,2.6,134,0.949,0,8,3.06,0.0009,LOW,0
PL-0122,Barbara Anderson,Northeast,1/8,1.9,402,0.919,1,7,3.15,0.0009,LOW,0
PL-0198,Charles King,Mid-Atlantic,1/32,1.3,626,0.661,1,16,2.8,0.0008,LOW,0
PL-0195,Sharon Young,Southeast,1/8,1.0,721,0.612,1,18,3.27,0.0008,LOW,0
PL-0207,Kevin King,Southeast,1/4,2.3,246,0.69,0,4,3.9,0.0007,LOW,0
PL-0079,Elizabeth Rodriguez,Mid-Atlantic,1/16,1.1,680,0.706,2,5,2.65,0.0007,LOW,0
PL-0232,Jessica Sanchez,Mid-Atlantic,1/8,1.0,749,0.86,1,4,3.8,0.0007,LOW,0
PL-0028,Anthony Thompson,Southeast,1/4,2.8,83,0.702,0,11,4.5,0.0007,LOW,0
PL-0037,Sarah Jackson,Northeast,1/16,2.9,37,1.064,1,5,3.58,0.0007,LOW,0
PL-0314,Steven Torres,Southeast,1/8,3.9,778,0.746,0,15,4.17,0.0007,LOW,0
PL-0209,Michael Johnson,Northeast,1/32,2.2,274,1.01,0,5,4.2,0.0007,LOW,0
PL-0252,Ronald Thomas,Southeast,1/4,0.6,880,0.488,0,5,4.5,0.0007,LOW,0
PL-0321,Thomas Young,Mid-Atlantic,1/8,0.9,753,0.455,0,12,2.8,0.0007,LOW,0
PL-0006,Michael Torres,West_Coast,1/16,1.8,452,0.498,1,7,3.85,0.0006,LOW,0
PL-0043,Barbara Lewis,Midwest,1/16,2.2,273,0.793,0,9,3.88,0.0006,LOW,0
PL-0170,Kenneth Nguyen,West_Coast,1/16,1.0,725,0.598,0,8,3.7,0.0006,LOW,0
PL-0040,Anthony Scott,Northeast,1/16,1.0,722,0.609,0,4,2.83,0.0006,LOW,0
PL-0074,Helen Rodriguez,West_Coast,1/32,1.5,542,0.897,1,6,4.4,0.0006,LOW,0
PL-0350,Ruth Hernandez,Midwest,1/32,1.0,715,1.009,0,9,3.5,0.0006,LOW,0
PL-0041,George Sanchez,Northeast,1/8,1.5,554,0.709,1,12,3.55,0.0005,LOW,0
PL-0311,Helen Brown,Mid-Atlantic,1/8,1.3,610,0.586,0,4,4.0,0.0005,LOW,0
PL-0315,Mark Garcia,Mid-Atlantic,1/16,2.6,157,1.084,1,6,4.47,0.0005,LOW,0
PL-0053,Helen Johnson,Northeast,1/32,2.2,312,0.805,1,9,3.8,0.0005,LOW,0
PL-0078,Michael Thompson,Midwest,1/32,1.2,663,0.992,1,5,3.54,0.0005,LOW,0
PL-0130,Carol Lee,Northeast,1/16,1.0,723,0.338,0,4,3.65,0.0005,LOW,0
PL-0226,James Garcia,Southeast,1/8,1.5,543,0.89,1,7,3.48,0.0005,LOW,0
PL-0059,Paul Johnson,Northeast,1/8,1.7,470,0.628,0,4,3.2,0.0005,LOW,0
PL-0297,Steven Garcia,Northeast,1/8,1.7,490,0.802,1,4,3.8,0.0005,LOW,0
PL-0194,Robert Ramirez,Mid-Atlantic,1/16,1.5,556,1.062,1,4,2.35,0.0005,LOW,0
PL-0271,Lisa Clark,West_Coast,1/8,1.2,676,0.931,1,10,3.9,0.0005,LOW,0
PL-0247,Jennifer Anderson,West_Coast,1/32,1.1,692,0.685,0,10,3.8,0.0005,LOW,0
PL-0277,Patricia Rodriguez,Northeast,1/8,1.1,703,0.729,0,4,4.03,0.0005,LOW,0
PL-0239,Edward Young,Northeast,1/8,2.1,321,0.812,0,5,3.57,0.0005,LOW,0
PL-0011,Richard Nguyen,Mid-Atlantic,1/16,2.4,233,0.922,0,5,4.7,0.0005,LOW,0
PL-0285,David Flores,West_Coast,1/16,4.9,407,0.833,1,18,3.83,0.0005,LOW,0
PL-0236,Karen Martin,West_Coast,1/8,1.9,394,0.773,0,10,3.43,0.0005,LOW,0
PL-0188,Kenneth Clark,West_Coast,1/8,0.9,777,0.619,1,5,3.22,0.0005,LOW,0
PL-0047,Barbara Flores,Northeast,1/32,1.4,596,0.723,0,26,4.5,0.0005,LOW,0
PL-0086,Elizabeth Lewis,Mid-Atlantic,1/8,1.7,472,0.646,1,4,4.1,0.0005,LOW,0
PL-0203,Richard Jones,Southeast,1/8,2.7,96,0.66,0,15,3.8,0.0005,LOW,0
PL-0061,Ronald Thompson,Northeast,1/16,5.6,144,0.734,0,9,3.6,0.0004,LOW,0
PL-0193,Edward Martin,Midwest,1/8,0.9,757,0.584,0,6,4.15,0.0004,LOW,0
PL-0181,Carol Sanchez,Southeast,1/4,1.8,456,0.81,1,6,3.53,0.0004,LOW,0
PL-0342,Mark Taylor,Northeast,1/16,1.6,516,0.663,0,46,3.8,0.0004,LOW,0
PL-0323,Lisa Miller,Northeast,1/8,1.3,634,0.813,1,4,4.6,0.0004,LOW,0
PL-0089,Elizabeth Thomas,Northeast,1/32,4.1,701,0.876,0,4,3.73,0.0004,LOW,0
PL-0305,Laura Moore,Mid-Atlantic,1/32,0.6,886,0.794,0,17,4.0,0.0004,LOW,0
PL-0318,James Williams,West_Coast,1/4,1.6,516,0.829,1,4,3.8,0.0004,LOW,0
PL-0077,Sarah Wright,West_Coast,1/16,0.7,827,0.632,0,10,3.7,0.0004,LOW,0
PL-0266,Jennifer Flores,West_Coast,1/8,1.2,646,0.447,0,5,2.75,0.0004,LOW,0
PL-0221,Jennifer Sanchez,Midwest,1/4,1.1,695,0.652,1,9,3.6,0.0004,LOW,0
PL-0156,Lisa Garcia,Northeast,1/16,1.2,674,0.72,1,13,2.72,0.0004,LOW,0
PL-0031,Scott Garcia,Southeast,1/16,0.9,778,0.571,0,5,3.4,0.0004,LOW,0
PL-0032,George Scott,West_Coast,1/16,1.6,511,1.074,1,13,4.02,0.0004,LOW,0
PL-0055,David Taylor,West_Coast,1/8,1.4,594,0.85,0,4,3.3,0.0004,LOW,0
PL-0186,Andrew Thomas,Southeast,1/32,1.2,653,1.132,0,5,3.9,0.0003,LOW,0
PL-0245,Sarah Flores,Northeast,1/16,0.7,853,0.632,0,12,3.8,0.0003,LOW,0
PL-0038,Brian Wright,Southeast,1/32,1.1,689,0.772,0,10,2.4,0.0003,LOW,0
PL-0240,Jennifer Smith,Midwest,1/16,1.0,736,0.342,0,6,3.95,0.0003,LOW,0
PL-0184,Ronald Ramirez,Northeast,1/8,0.8,811,0.781,1,4,4.2,0.0003,LOW,0
PL-0013,Ruth Brown,Mid-Atlantic,1/32,1.3,628,0.836,0,9,4.05,0.0003,LOW,0
PL-0332,Jessica Hernandez,West_Coast,1/32,1.7,470,0.505,0,4,4.35,0.0003,LOW,0
PL-0021,Charles Young,Mid-Atlantic,1/16,2.0,365,0.705,0,8,4.07,0.0003,LOW,0
PL-0051,David Martinez,Mid-Atlantic,1/8,1.4,586,0.641,0,13,3.45,0.0003,LOW,0
PL-0033,Edward Scott,Northeast,1/16,1.3,636,1.044,0,8,3.8,0.0002,LOW,0
PL-0265,James Lee,Northeast,1/32,1.2,637,0.961,0,4,4.6,0.0002,LOW,0
PL-0082,Jennifer Martinez,Northeast,1/8,1.4,594,0.557,0,9,3.78,0.0002,LOW,0
PL-0118,Robert Smith,Southeast,1/8,0.9,758,0.594,1,4,3.85,0.0002,LOW,0
PL-0180,George Thomas,Mid-Atlantic,1/16,1.7,474,0.79,1,10,2.97,0.0002,LOW,0
PL-0076,Nancy Allen,Southeast,1/4,1.6,516,0.88,0,4,3.4,0.0002,LOW,0
PL-0083,Carol Brown,Southeast,1/8,1.5,559,0.623,1,12,3.83,0.0002,LOW,0
PL-0123,Thomas Sanchez,Northeast,1/32,0.8,804,0.906,0,16,3.8,0.0002,LOW,0
PL-0192,Jessica Harris,Mid-Atlantic,1/8,1.2,639,0.608,0,5,4.65,0.0002,LOW,0
PL-0339,Donna Smith,Midwest,1/16,0.8,807,0.554,0,5,3.8,0.0002,LOW,0
PL-0010,Ruth Martin,Southeast,1/8,1.6,500,0.779,1,5,3.33,0.0002,LOW,0
PL-0034,Paul Harris,West_Coast,1/8,1.6,526,0.691,0,6,3.36,0.0002,LOW,0
PL-0073,John Smith,Midwest,1/32,1.1,694,0.728,0,15,3.95,0.0002,LOW,0
PL-0104,Sarah Moore,Northeast,1/16,1.4,581,0.724,0,7,2.95,0.0002,LOW,0
PL-0160,Helen Taylor,Northeast,1/4,1.0,750,0.736,0,7,3.8,1e-04,LOW,0
